Brand,Instrument,GFS Item #,title,Web Description,url
Campbell Scientific,Campbell Scientific OBS 3 series (Probe) Turbidity Sensor.,8431,"1000 Tu, Obs 3 Series (Probe) Sensor, Amco Clear Turbidity Standard",For Campbell Scientific OBS 3 series (Probe) Turbidity Sensor.,https://www.gfschemicals.com/amco-clear-turbidity-standard-1000-tu-for-obs-3-se-8431
Campbell Scientific,Campbell Scientific OBS 3 series (Probe) Turbidity Sensor.,8432,"2000 Tu For Obs 3 Series (Probe) Sensor, Amco Clear Turbidity Standard",For Campbell Scientific OBS 3 series (Probe) Turbidity Sensor.,https://www.gfschemicals.com/amco-clear-turbidity-standard-2000-tu-for-obs-3-se-8432
Campbell Scientific,Campbell Scientific OBS 3 series (Probe) Turbidity Sensor.,8433,"4000 Tu For Obs 3 Series (Probe) Sensor, Amco Clear Turbidity Standard",For Campbell Scientific OBS 3 series (Probe) Turbidity Sensor.,https://www.gfschemicals.com/amco-clear-turbidity-standard-4000-tu-for-obs-3-se-8433
Campbell Scientific,Campbell Scientific OBS+ (Probe) Turbidity Sensor.,8723,"125 NTU, OBS 3+ Probe, Amco Clear Turbidity Standard",For Campbell Scientific OBS+ (Probe) Turbidity Sensor.,https://www.gfschemicals.com/amco-clear-turbidity-standard-125-ntu-for-obs-3-15-8723
Campbell Scientific,Campbell Scientific OBS+ (Probe) Turbidity Sensor.,8724,"250 NTU, OBS 3+ Probe, Amco Clear Turbidity Standard",For Campbell Scientific OBS+ (Probe) Turbidity Sensor.,https://www.gfschemicals.com/amco-clear-turbidity-standard-250-ntu-for-obs-3-15-8724
Campbell Scientific,Campbell Scientific OBS+ (Probe) Turbidity Sensor.,8725,"500 NTU, OBS 3+ Probe, Amco Clear Turbidity Standard",For Campbell Scientific OBS+ (Probe) Turbidity Sensor.,https://www.gfschemicals.com/amco-clear-turbidity-standard-500-ntu-for-obs-3-15-8725
Campbell Scientific,Campbell Scientific OBS+ (Probe) Turbidity Sensor.,8726,"1000 NTU, OBS 3+ Probe, Amco Clear Turbidity Standard",For Campbell Scientific OBS+ (Probe) Turbidity Sensor.,https://www.gfschemicals.com/amco-clear-turbidity-standard-1000-ntu-for-obs-3-1-8726
Campbell Scientific,Campbell Scientific OBS+ (Probe) Turbidity Sensor.,8727,"2000 NTU, OBS 3+ Probe, Amco Clear Turbidity Standard",For Campbell Scientific OBS+ (Probe) Turbidity Sensor.,https://www.gfschemicals.com/amco-clear-turbidity-standard-2000-ntu-for-obs-3-1-8727
Campbell Scientific,Campbell Scientific OBS+ (Probe) Turbidity Sensor.,8728,"4000 NTU, OBS 3+ Probe, Amco Clear Turbidity Standard",For Campbell Scientific OBS+ (Probe) Turbidity Sensor.,https://www.gfschemicals.com/amco-clear-turbidity-standard-4000-ntu-for-obs-3-1-8728
EBC - European Brewing Commission,EBC Design Haze Meters.,8000,"0.0 NTU, Amco Clear Turbidity Standard",For All Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-0-0-ntu-8000
EBC - European Brewing Commission,EBC Design Haze Meters.,8042,"0.5 EBC, Amco Clear Turbidity Standard",For EBC Design Haze Meters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-0-5-ebc-8042
EBC - European Brewing Commission,EBC Design Haze Meters.,8043,"1.0 EBC, Amco Clear Turbidity Standard",For EBC Design Haze Meters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-1-0-ebc-8043
EBC - European Brewing Commission,EBC Design Haze Meters.,8044,"2.5 EBC, Amco Clear Turbidity Standard",For EBC Design Haze Meters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-2-5-ebc-8044
EBC - European Brewing Commission,EBC Design Haze Meters.,8045,"10 EBC, Amco Clear Turbidity Standard",For EBC Design Haze Meters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-10-ebc-8045
EBC - European Brewing Commission,EBC Design Haze Meters.,8046,"5 EBC, Amco Clear Turbidity Standard",For EBC Design Haze Meters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-5-ebc-8046
EBC - European Brewing Commission,EBC Design Haze Meters.,8047,"25 EBC, Amco Clear Turbidity Standard",For EBC Design Haze Meters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-25-ebc-8047
EBC - European Brewing Commission,EBC Design Haze Meters.,8254,Turb Linear Calib 1 Kit,"Calibration kit containing 0.0, 0.2, 0.4, 0.6, 0.8 and 1.0 NTU standards to be used to calibrate and verify instrument's linearity in the 0.0 to 1.0 NTU range. Avaliable as 125 mL, 250 mL, or 500 mL bottles.",https://www.gfschemicals.com/amco-clear-linear-calibration-kit-0-0-3-0-2-3-0-4-8254
EBC - European Brewing Commission,EBC Design Haze Meters.,8255,"Linear Calibration Kit, 0/2/4/6/8/10 NTU, Amco Clear","Calibration kit containing 0.0, 2, 4, 6, 8 and 10 NTU primary standards to be used to calibrate and verify instrument's linearity in the 0.0 to 10 NTU range. Available in 125 mL or 250 mL bottles.",https://www.gfschemicals.com/amco-clear-linear-calibration-kit-0-3-2-3-4-3-6-3-8255
EBC - European Brewing Commission,EBC Design Haze Meters.,8256,"Linear Calibration Kit, 0/20/40/60/80/100 NTU, Amco Clear","Calibration kit containing 0.0, 20, 40, 60, 80 and 100 NTU primary standards to be used to calibrate and verify turbidity instrument linearity in the 0.0 to 100 NTU range.",https://www.gfschemicals.com/amco-clear-linear-calibration-kit-0-3-20-3-40-3-60-8256
EBC - European Brewing Commission,EBC Design Haze Meters.,8257,"Linear Calibration Kit, 0.0/0.1/0.2 NTU, Amco Clear","Calibration kit containing 0.0, 0.1, 0.2 NTU primary standards to be used to calibrate and verify turbidity instrument linearity in the 0.0 to 0.2 NTU range.",https://www.gfschemicals.com/amco-clear-linear-calibration-kit-0-0-3-0-1-3-0-2-8257
EBC - European Brewing Commission,EBC Design Haze Meters.,8259,"Wavelength Certification Kit, 40 NTU Ratio And 400 NTU Formazin, Amco Clear Turbidity Kit","Kit consists of one bottle of 40 NTU primary standard and one bottle of 400 NTU formazin. For all meters with tungsten lamp excpet Hach 18900, Ratio XR and Ratio 2000. Formazin must be used in 30 days.",https://www.gfschemicals.com/amco-clear-wavelength-certification-kit-40-ntu-rat-8259
EBC - European Brewing Commission,EBC Design Haze Meters.,8483,"Turbidity/Multi Standard, 0.0 NTU, Amco Clear Standard","Multistandard reference solution for turbidity, conductivity, and pH calibration. 0.0 NTU, 4.49 mS/cm, pH 4.00.",https://www.gfschemicals.com/amco-clear-turbidity-3-multi-standard-0-0-ntu-8483
